Time,X,Y,Pitch,Roll,Yaw
62.710,-0.082,0.220,-1.127,-5.081,1.638,
62.860,-0.236,0.051,-0.081,-3.991,1.557,
63.018,0.292,0.558,-4.546,6.488,2.288,
63.170,0.063,0.115,0.689,-5.559,1.583,
63.321,0.062,-0.101,-1.717,-0.938,1.544,
63.480,-0.054,-0.140,1.703,-4.756,1.379,
63.652,0.006,-0.128,1.619,-2.810,1.552,
63.822,0.064,-0.036,2.897,-2.267,1.414,
63.989,-0.057,-0.178,0.200,-1.067,1.452,
64.170,-0.003,-0.129,-2.077,-1.951,1.333,
64.314,-0.104,-0.311,1.508,-8.410,1.396,
64.458,-0.117,-0.316,1.129,-3.278,1.352,
64.605,-0.003,-0.188,-1.308,-3.210,1.349,
64.755,0.323,-0.006,1.509,-4.125,1.647,
64.898,-0.331,0.028,1.347,-1.986,1.566,
65.043,-0.502,0.278,1.362,-0.648,1.316,
65.198,0.090,-0.257,-0.853,-1.811,1.622,
65.349,0.245,0.032,0.630,3.396,1.652,
65.489,-0.052,-0.911,0.524,-1.273,1.572,
65.645,-0.544,-0.375,0.715,0.522,1.763,
65.791,-0.204,-0.445,-0.557,-0.748,1.529,
65.941,-0.278,-0.266,-3.079,10.750,1.996,
66.087,-0.157,-0.241,-0.330,0.223,1.444,
66.249,0.000,-0.089,-1.443,1.047,1.392,
66.402,-0.159,-0.241,-0.580,2.174,1.523,
66.555,-0.009,-0.090,-0.245,2.010,1.814,
66.709,-0.372,-0.500,-0.469,-0.055,1.576,
66.878,0.026,-0.485,-4.047,10.755,2.123,
67.031,-0.159,-0.635,-2.552,0.028,1.523,
67.179,-0.199,-0.245,1.092,2.324,1.227,
67.331,-0.149,0.074,-1.990,-0.118,1.455,
67.486,0.061,-0.174,-2.028,0.435,1.447,
67.633,0.324,-0.258,-1.129,0.644,1.518,
67.777,0.315,-0.187,1.292,-1.860,1.346,
67.913,0.223,-0.133,-0.810,2.161,1.425,
68.071,0.190,-0.297,1.626,-2.530,1.455,
68.231,0.025,-0.126,0.137,-2.276,1.444,
68.386,-0.123,-0.090,-0.598,-1.618,1.122,
68.538,0.155,0.023,-0.662,-1.273,1.478,
68.688,0.391,0.034,0.084,-1.773,1.219,
68.839,-0.086,-0.096,0.705,-1.217,1.329,
69.018,0.283,-0.070,-0.246,-0.534,1.338,
69.194,0.491,-0.276,1.274,-2.357,1.545,
69.376,0.456,-0.135,1.905,-2.999,1.532,
69.545,-0.293,-0.576,0.737,0.413,1.272,
69.748,0.179,-0.348,1.108,-3.274,1.280,
69.936,0.019,-0.120,0.815,-3.685,1.277,
70.113,0.230,-0.369,0.282,-2.831,1.277,
